,doc2vec_dm,doc2vec_dm_mean,doc2vec_docs,doc2vec_epochs,doc2vec_hs,doc2vec_learning_rate_end,doc2vec_learning_rate_start,doc2vec_min_count,doc2vec_negative,doc2vec_vector_size,doc2vec_window,f1,nn_batch_size,nn_dense_activation_function,nn_dropout,nn_epochs,nn_features,nn_hidden_neurons,nn_layers,nn_lstm_activation_function,nn_lstm_n_prev,precision,recall
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7711892529168383,15,linear,0.1,40,"bpm, measure, beat",30,20,selu,16,0.8124762575389077,0.7674767911604891
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.7587729237635101,25,linear,0.05,40,"bpm, measure, beat",40,10,selu,16,0.7952893791918658,0.7478057887491115
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.7465394631193503,25,linear,0.1,40,"bpm, measure, beat",30,10,selu,16,0.7725980231401254,0.740915235922702
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6114692224105069,25,linear,0.0,20,"bpm, measure, beat",40,10,selu,12,0.6692274516545261,0.5868095058620044
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.5222933512776077,15,linear,0.0,40,"bpm, measure, beat",40,20,selu,12,0.5772673215884305,0.49841002827616093
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.5705251444170018,15,linear,0.0,40,"bpm, measure, beat",40,10,selu,12,0.6242468206917399,0.5539687747153366
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.6671214086829043,15,linear,0.05,40,"bpm, measure, beat",40,15,selu,12,0.7359330680251851,0.6415935027691041
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.6405152008165794,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,12,0.704757544706073,0.6162171003084979
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.6284739732849959,15,linear,0.1,40,"bpm, measure, beat",30,10,selu,12,0.7033174324204476,0.5959222285860548
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.5896474583244445,25,linear,0.1,20,"bpm, measure, beat",40,10,selu,12,0.6183960254532975,0.5908116660379057
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6017343533736443,15,linear,0.1,40,"bpm, measure, beat",40,20,selu,16,0.6324153747382989,0.6016340195688374
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,1,0.7067558249373483,25,linear,0.1,40,"bpm, measure, beat",30,20,selu,16,0.7627316745378162,0.6906926685573702
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.6776216680326269,15,linear,0.05,20,"bpm, measure, beat",30,15,selu,16,0.7155516102701717,0.6811964609698817
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.5914048430828059,15,linear,0.05,20,"bpm, measure, beat",30,10,selu,12,0.6553849053060823,0.5686091914247102
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,5,0.5090635666761513,25,linear,0.1,40,"bpm, measure, beat",30,20,selu,12,0.5577681008066943,0.4848871083309921
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.6186036944364415,25,linear,0.0,40,"bpm, measure, beat",40,10,selu,12,0.6860056408246343,0.5916709403583349
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,10,0.6282271389393378,25,linear,0.1,40,"bpm, measure, beat",40,10,selu,16,0.6526427030809294,0.6249098068548825
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,1,0.6079922640592642,15,linear,0.1,20,"bpm, measure, beat",30,20,selu,16,0.6597903560800399,0.5977890772378859
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,24,10,0.5763493932971958,15,linear,0.05,40,"bpm, measure, beat",30,20,selu,12,0.6440962839193544,0.5429150531780559
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,16,5,0.721789008431221,15,linear,0.05,40,"bpm, measure, beat",40,20,selu,16,0.7468089244463977,0.7290226420168638
0,1,1,../resources/encoder_training_docs/full_1_measure.txt,2,0,0.2,0.025,10,0,20,5,0.7159794231079047,25,linear,0.0,20,"bpm, measure, beat",40,15,selu,16,0.7312783168558017,0.7387055524204132
